Date,Category,Product,Sales,Quantity,Profit,Customer Segment
2026-01-10,Electronics,Laptop,1200.00,2,300.00,Corporate
2026-01-12,Electronics,Smartphone,800.00,1,150.00,Consumer
2026-01-15,Furniture,Chair,150.00,4,40.00,Consumer
2026-01-18,Furniture,Desk,450.00,1,80.00,Corporate
2026-01-20,Office Supplies,Paper,25.00,5,8.00,Home Office
2026-01-22,Office Supplies,Binder,15.50,3,4.50,Corporate
2026-01-25,Clothing,Shirt,45.00,2,15.00,Consumer
2026-01-28,Clothing,Jeans,65.00,1,20.00,Consumer
2026-02-02,Electronics,Laptop,2400.00,4,600.00,Corporate
2026-02-05,Electronics,Smartphone,1600.00,2,300.00,Home Office
2026-02-08,Furniture,Chair,300.00,8,80.00,Consumer
2026-02-12,Furniture,Desk,900.00,2,160.00,Corporate
2026-02-15,Office Supplies,Paper,50.00,10,16.00,Consumer
2026-02-18,Office Supplies,Binder,31.00,6,9.00,Home Office
2026-02-22,Clothing,Shirt,90.00,4,30.00,Consumer
2026-02-25,Clothing,Jeans,130.00,2,40.00,Corporate
2026-03-01,Electronics,Laptop,1200.00,2,300.00,Home Office
2026-03-04,Electronics,Smartphone,800.00,1,150.00,Consumer
2026-03-08,Furniture,Chair,75.00,2,20.00,Corporate
2026-03-12,Office Supplies,Paper,12.50,2,4.00,Consumer
2026-03-15,Clothing,Shirt,22.50,1,7.50,Home Office
